"sex","sport","test","metric","n","mass_dep","Linear","NO","BCT","Best"
"Female","Football","SLJ","ConcImp_R",66,TRUE,0.366,NA,NA,"Linear"
"Female","Football","SLJ","ConcImp_L",65,TRUE,0.354,NA,NA,"Linear"
"Female","Football","SLJ","ConcMF_R",66,TRUE,0.341,NA,NA,"Linear"
"Female","Football","SLJ","ConcMF_L",65,TRUE,0.328,NA,NA,"Linear"
"Male","Football","SLJ","ConcImp_R",306,TRUE,0.181,NA,NA,"Linear"
"Male","Football","SLJ","ConcImp_L",304,TRUE,0.186,NA,NA,"Linear"
"Male","Football","SLJ","ConcMF_R",306,TRUE,0.163,NA,NA,"Linear"
"Male","Football","SLJ","ConcMF_L",304,TRUE,0.163,NA,NA,"Linear"
"Male","Swimming","SLJ","ConcImp_R",26,TRUE,0.434,NA,NA,"Linear"
"Male","Swimming","SLJ","ConcImp_L",25,TRUE,0.4,NA,NA,"Linear"
"Male","Swimming","SLJ","ConcMF_R",26,TRUE,0.386,NA,NA,"Linear"
"Male","Swimming","SLJ","ConcMF_L",25,TRUE,0.459,NA,NA,"Linear"
"Female","Football","SLDJ","ConcImp_R",55,TRUE,0.481,NA,NA,"Linear"
"Female","Football","SLDJ","ConcImp_L",55,TRUE,0.443,NA,NA,"Linear"
"Female","Football","SLDJ","MeanLandPow_R",55,TRUE,0.392,NA,NA,"Linear"
"Female","Football","SLDJ","MeanLandPow_L",55,TRUE,0.378,NA,NA,"Linear"
"Male","Football","SLDJ","ConcImp_R",156,TRUE,0.162,NA,NA,"Linear"
"Male","Football","SLDJ","ConcImp_L",155,TRUE,0.166,NA,NA,"Linear"
"Male","Football","SLDJ","MeanLandPow_R",156,TRUE,0.243,NA,NA,"Linear"
"Male","Football","SLDJ","MeanLandPow_L",155,TRUE,0.309,NA,NA,"Linear"
"Female","Football","SLLAH","DropLand_R",63,TRUE,0.372,NA,NA,"Linear"
"Female","Football","SLLAH","DropLand_L",63,TRUE,0.416,NA,NA,"Linear"
"Female","Football","SLLAH","PeakDLF_R",63,TRUE,0.361,NA,NA,"Linear"
"Male","Football","SLLAH","DropLand_R",225,TRUE,0.344,NA,NA,"Linear"
"Male","Football","SLLAH","DropLand_L",222,TRUE,0.381,NA,NA,"Linear"
"Male","Football","SLLAH","PeakDLF_R",225,TRUE,0.364,NA,NA,"Linear"
"Male","Cricket","SLLAH","DropLand_R",25,TRUE,0.492,NA,NA,"Linear"
"Male","Cricket","SLLAH","DropLand_L",25,TRUE,0.563,NA,NA,"Linear"
"Male","Cricket","SLLAH","PeakDLF_R",25,TRUE,0.334,NA,NA,"Linear"
"Female","Badminton","SLHAR","PeakTakeoffF_R",30,TRUE,0.387,NA,NA,"Linear"
"Female","Badminton","SLHAR","PeakTakeoffF_L",30,TRUE,0.385,NA,NA,"Linear"
"Female","Badminton","SLHAR","PeakLandF_R",30,TRUE,0.428,NA,NA,"Linear"
"Female","Badminton","SLHAR","PeakLandF_L",30,TRUE,0.328,NA,NA,"Linear"
"Female","Football","SLHAR","PeakTakeoffF_R",54,TRUE,0.192,NA,NA,"Linear"
"Female","Football","SLHAR","PeakTakeoffF_L",55,TRUE,0.263,NA,NA,"Linear"
"Female","Football","SLHAR","PeakLandF_R",54,TRUE,0.224,NA,NA,"Linear"
"Female","Football","SLHAR","PeakLandF_L",55,TRUE,0.337,NA,NA,"Linear"
"Male","Football","SLHAR","PeakTakeoffF_R",163,TRUE,0.151,NA,NA,"Linear"
"Male","Football","SLHAR","PeakTakeoffF_L",165,TRUE,0.162,NA,NA,"Linear"
"Male","Football","SLHAR","PeakLandF_R",163,TRUE,0.165,NA,NA,"Linear"
"Male","Football","SLHAR","PeakLandF_L",165,TRUE,0.167,NA,NA,"Linear"
